product_id,product_name,date,inventory_level,orders,lead_time_days
SKU463,Widget A,2025-01-09,105,20,8
SKU630,Widget A,2025-01-08,136,17,4
SKU355,Widget A,2025-01-07,58,13,9
SKU442,Widget A,2025-01-06,168,24,9
SKU457,Widget A,2025-01-05,105,24,7
SKU667,Widget A,2025-01-04,170,25,7
SKU265,Widget A,2025-01-03,171,5,10
SKU476,Widget A,2025-01-02,132,19,4
SKU677,Widget A,2025-01-01,163,11,6
SKU700,Widget A,2024-12-31,86,25,9
SKU289,Widget A,2024-12-30,51,9,5
SKU369,Widget A,2024-12-29,136,10,5
SKU297,Widget A,2024-12-28,92,25,6
SKU739,Widget A,2024-12-27,182,5,7
SKU126,Widget A,2024-12-26,107,23,5
SKU314,Widget A,2024-12-25,138,6,5
SKU806,Widget A,2024-12-24,169,6,6
SKU416,Widget A,2024-12-23,113,16,7
SKU418,Widget A,2024-12-22,182,14,3
SKU651,Widget A,2024-12-21,76,16,4
SKU692,Widget A,2024-12-20,151,20,3
SKU948,Widget A,2024-12-19,148,14,3
SKU207,Widget A,2024-12-18,192,25,8
SKU269,Widget A,2024-12-17,144,17,7
SKU269,Widget A,2024-12-16,151,16,10
SKU684,Widget A,2024-12-15,106,24,6
SKU477,Widget A,2024-12-14,75,7,7
SKU741,Widget A,2024-12-13,175,18,3
SKU825,Widget A,2024-12-12,184,19,4
SKU332,Widget A,2024-12-11,62,20,4
SKU465,Widget A,2024-12-10,57,23,6
SKU340,Widget A,2024-12-09,79,18,10
SKU224,Widget A,2024-12-08,88,5,7
SKU134,Widget A,2024-12-07,194,10,5
SKU362,Widget A,2024-12-06,157,25,5
SKU392,Widget A,2024-12-05,145,23,3
SKU491,Widget A,2024-12-04,50,21,3
SKU961,Widget A,2024-12-03,138,11,4
SKU507,Widget A,2024-12-02,108,25,10
SKU803,Widget A,2024-12-01,81,16,10
SKU425,Widget A,2024-11-30,175,13,7
SKU937,Widget A,2024-11-29,79,22,3
SKU312,Widget A,2024-11-28,99,24,7
SKU574,Widget A,2024-11-27,178,9,4
SKU431,Widget A,2024-11-26,191,6,4
SKU818,Widget A,2024-11-25,155,21,8
SKU602,Widget A,2024-11-24,101,13,10
SKU503,Widget A,2024-11-23,95,24,8
SKU653,Widget A,2024-11-22,185,13,9
SKU914,Widget A,2024-11-21,126,20,8
SKU719,Widget A,2024-11-20,86,25,5
SKU587,Widget A,2024-11-19,108,9,4
SKU208,Widget A,2024-11-18,101,9,8
SKU610,Widget A,2024-11-17,56,24,7
SKU748,Widget A,2024-11-16,144,23,4
SKU170,Widget A,2024-11-15,193,11,8
SKU618,Widget A,2024-11-14,127,15,10
SKU736,Widget A,2024-11-13,92,11,9
SKU864,Widget A,2024-11-12,61,15,9
SKU184,Widget A,2024-11-11,179,21,9
SKU620,Widget A,2024-11-10,63,9,10
SKU943,Widget A,2024-11-09,60,9,9
SKU448,Widget A,2024-11-08,138,23,8
SKU284,Widget A,2024-11-07,113,16,8
SKU175,Widget A,2024-11-06,166,8,3
SKU556,Widget A,2024-11-05,200,18,7
SKU784,Widget A,2024-11-04,72,18,9
SKU798,Widget A,2024-11-03,102,6,5
SKU392,Widget A,2024-11-02,167,8,5
SKU940,Widget A,2024-11-01,113,14,9
SKU598,Widget A,2024-10-31,197,10,8
SKU270,Widget A,2024-10-30,58,16,5
SKU664,Widget A,2024-10-29,174,19,8
SKU943,Widget A,2024-10-28,143,10,3
SKU964,Widget A,2024-10-27,196,11,10
SKU658,Widget A,2024-10-26,99,21,7
SKU877,Widget A,2024-10-25,174,13,4
SKU294,Widget A,2024-10-24,125,13,10
SKU985,Widget A,2024-10-23,172,25,9
SKU557,Widget A,2024-10-22,156,20,10
SKU622,Widget A,2024-10-21,152,5,9
SKU997,Widget A,2024-10-20,150,8,4
SKU788,Widget A,2024-10-19,66,25,7
SKU532,Widget A,2024-10-18,120,8,4
SKU883,Widget A,2024-10-17,176,21,9
SKU741,Widget A,2024-10-16,94,24,6
SKU540,Widget A,2024-10-15,125,9,5
SKU178,Widget A,2024-10-14,51,23,6
SKU563,Widget A,2024-10-13,151,16,3
SKU829,Widget A,2024-10-12,186,12,5
SKU904,Widget A,2024-10-11,93,14,7
SKU567,Widget A,2024-10-10,126,12,6
SKU655,Widget A,2024-10-09,187,5,8
SKU604,Widget A,2024-10-08,166,22,6
SKU855,Widget A,2024-10-07,175,22,6
SKU944,Widget A,2024-10-06,186,24,9
SKU982,Widget A,2024-10-05,155,18,9
SKU582,Widget A,2024-10-04,200,9,7
SKU567,Widget A,2024-10-03,148,24,8
SKU261,Widget A,2024-10-02,198,14,6
SKU349,Widget A,2024-10-01,73,10,8
SKU560,Widget A,2024-09-30,187,21,7
SKU394,Widget A,2024-09-29,108,17,8
SKU626,Widget A,2024-09-28,61,8,8
SKU511,Widget A,2024-09-27,79,19,9
SKU509,Widget A,2024-09-26,71,21,9
SKU218,Widget A,2024-09-25,51,16,5
SKU506,Widget A,2024-09-24,162,8,10
SKU533,Widget A,2024-09-23,106,15,5
SKU404,Widget A,2024-09-22,97,16,7
SKU981,Widget A,2024-09-21,120,9,8
SKU629,Widget A,2024-09-20,70,14,4
SKU136,Widget A,2024-09-19,165,22,5
SKU220,Widget A,2024-09-18,114,12,10
SKU494,Widget A,2024-09-17,167,20,7
SKU464,Widget A,2024-09-16,148,5,4
SKU925,Widget A,2024-09-15,160,9,10
SKU564,Widget A,2024-09-14,127,15,6
SKU539,Widget A,2024-09-13,75,7,6
SKU502,Widget A,2024-09-12,98,20,6
SKU579,Widget A,2024-09-11,99,16,6
SKU934,Widget A,2024-09-10,130,16,6
SKU655,Widget A,2024-09-09,182,15,9
SKU630,Widget A,2024-09-08,84,23,10
SKU104,Widget A,2024-09-07,78,21,8
SKU913,Widget A,2024-09-06,122,21,9
SKU853,Widget A,2024-09-05,127,19,7
SKU595,Widget A,2024-09-04,82,9,7
SKU182,Widget A,2024-09-03,78,13,3
SKU379,Widget A,2024-09-02,199,23,5
SKU813,Widget A,2024-09-01,63,20,6
SKU140,Widget A,2024-08-31,114,21,5
SKU914,Widget A,2024-08-30,105,9,10
SKU169,Widget A,2024-08-29,77,15,10
SKU760,Widget A,2024-08-28,91,13,6
SKU129,Widget A,2024-08-27,181,15,3
SKU757,Widget A,2024-08-26,76,10,9
SKU987,Widget A,2024-08-25,109,7,4
SKU299,Widget A,2024-08-24,85,7,6
SKU189,Widget A,2024-08-23,153,21,3
SKU918,Widget A,2024-08-22,147,21,5
SKU906,Widget A,2024-08-21,63,8,8
SKU144,Widget A,2024-08-20,67,5,9
SKU418,Widget A,2024-08-19,154,16,10
SKU208,Widget A,2024-08-18,55,13,5
SKU680,Widget A,2024-08-17,150,21,10
SKU651,Widget A,2024-08-16,167,17,6
SKU543,Widget A,2024-08-15,97,12,9
SKU620,Widget A,2024-08-14,130,5,3
SKU918,Widget A,2024-08-13,173,14,5
SKU893,Widget A,2024-08-12,77,16,6
SKU778,Widget A,2024-08-11,113,22,6
SKU605,Widget A,2024-08-10,56,6,3
SKU513,Widget A,2024-08-09,86,15,4
SKU776,Widget A,2024-08-08,99,8,9
SKU685,Widget A,2024-08-07,86,5,8
SKU221,Widget A,2024-08-06,77,15,5
SKU465,Widget A,2024-08-05,172,8,9
SKU848,Widget A,2024-08-04,199,11,4
SKU853,Widget A,2024-08-03,149,20,7
SKU999,Widget A,2024-08-02,193,24,7
SKU885,Widget A,2024-08-01,134,11,6
SKU931,Widget A,2024-07-31,80,19,5
SKU865,Widget A,2024-07-30,116,6,4
SKU918,Widget A,2024-07-29,187,17,4
SKU966,Widget A,2024-07-28,51,25,7
SKU804,Widget A,2024-07-27,167,14,9
SKU559,Widget A,2024-07-26,104,23,4
SKU886,Widget A,2024-07-25,102,11,10
SKU617,Widget A,2024-07-24,98,13,3
SKU329,Widget A,2024-07-23,63,23,4
SKU705,Widget A,2024-07-22,99,11,4
SKU670,Widget A,2024-07-21,112,11,6
SKU351,Widget A,2024-07-20,148,13,8
SKU505,Widget A,2024-07-19,200,13,9
SKU181,Widget A,2024-07-18,102,10,8
SKU625,Widget A,2024-07-17,135,15,6
SKU102,Widget A,2024-07-16,73,18,4
SKU312,Widget A,2024-07-15,52,14,9
SKU271,Widget A,2024-07-14,179,24,3
SKU919,Widget A,2024-07-13,102,18,3
SKU109,Widget A,2024-07-12,111,12,6
SKU486,Widget A,2024-07-11,146,11,4
SKU403,Widget A,2024-07-10,152,18,10
SKU398,Widget A,2024-07-09,75,19,7
SKU296,Widget A,2024-07-08,170,6,3
SKU473,Widget A,2024-07-07,117,5,7
SKU255,Widget A,2024-07-06,173,18,8
SKU934,Widget A,2024-07-05,50,8,7
SKU904,Widget A,2024-07-04,104,11,3
SKU724,Widget A,2024-07-03,73,15,8
SKU548,Widget A,2024-07-02,154,23,3
SKU494,Widget A,2024-07-01,172,24,8
SKU841,Widget A,2024-06-30,155,10,3
SKU603,Widget A,2024-06-29,78,10,5
SKU383,Widget A,2024-06-28,170,10,5
SKU616,Widget A,2024-06-27,77,18,3
SKU580,Widget A,2024-06-26,112,21,4
SKU653,Widget A,2024-06-25,92,17,3
SKU729,Widget A,2024-06-24,101,12,7
SKU258,Widget A,2024-06-23,182,5,4
SKU178,Widget A,2024-06-22,99,12,10
SKU944,Widget A,2024-06-21,167,19,5
SKU847,Widget A,2024-06-20,176,19,3
SKU468,Widget A,2024-06-19,68,18,5
SKU167,Widget A,2024-06-18,98,14,3
SKU340,Widget A,2024-06-17,105,5,6
SKU781,Widget A,2024-06-16,72,20,7
SKU718,Widget A,2024-06-15,98,24,7
SKU982,Widget A,2024-06-14,82,14,10
SKU645,Widget A,2024-06-13,76,13,6
SKU856,Widget A,2024-06-12,93,17,10
SKU290,Widget A,2024-06-11,68,14,6
SKU190,Widget A,2024-06-10,142,8,9
SKU779,Widget A,2024-06-09,174,24,8
SKU443,Widget A,2024-06-08,163,17,10
SKU555,Widget A,2024-06-07,140,13,3
SKU255,Widget A,2024-06-06,58,23,8
SKU671,Widget A,2024-06-05,110,5,3
SKU167,Widget A,2024-06-04,200,6,3
SKU994,Widget A,2024-06-03,185,20,8
SKU937,Widget A,2024-06-02,163,24,3
SKU743,Widget A,2024-06-01,182,8,5
SKU256,Widget A,2024-05-31,152,14,6
SKU384,Widget A,2024-05-30,54,15,6
SKU268,Widget A,2024-05-29,157,13,5
SKU760,Widget A,2024-05-28,101,14,5
SKU202,Widget A,2024-05-27,55,22,3
SKU206,Widget A,2024-05-26,85,24,7
SKU469,Widget A,2024-05-25,155,20,9
SKU965,Widget A,2024-05-24,58,10,6
SKU883,Widget A,2024-05-23,59,9,6
SKU716,Widget A,2024-05-22,64,11,6
SKU383,Widget A,2024-05-21,160,25,8
SKU574,Widget A,2024-05-20,85,17,10
SKU132,Widget A,2024-05-19,193,14,3
SKU239,Widget A,2024-05-18,112,16,10
SKU678,Widget A,2024-05-17,104,15,6
SKU463,Widget A,2024-05-16,56,6,3
SKU308,Widget A,2024-05-15,179,5,9
SKU472,Widget A,2024-05-14,156,5,9
SKU778,Widget A,2024-05-13,152,16,6
SKU634,Widget A,2024-05-12,106,13,3
SKU338,Widget A,2024-05-11,53,6,4
SKU668,Widget A,2024-05-10,64,12,10
SKU429,Widget A,2024-05-09,148,12,8
SKU704,Widget A,2024-05-08,124,18,4
SKU379,Widget A,2024-05-07,198,20,7
SKU537,Widget A,2024-05-06,133,11,10
SKU131,Widget A,2024-05-05,135,15,6
SKU278,Widget A,2024-05-04,146,25,10
SKU935,Widget A,2024-05-03,196,24,4
SKU354,Widget A,2024-05-02,124,25,3
SKU594,Widget A,2024-05-01,79,22,4
SKU785,Widget A,2024-04-30,126,5,5
SKU172,Widget A,2024-04-29,66,6,5
SKU727,Widget A,2024-04-28,126,12,5
SKU749,Widget A,2024-04-27,147,19,9
SKU978,Widget A,2024-04-26,106,9,10
SKU121,Widget A,2024-04-25,180,18,6
SKU657,Widget A,2024-04-24,57,8,5
SKU262,Widget A,2024-04-23,155,23,5
SKU233,Widget A,2024-04-22,163,6,8
SKU814,Widget A,2024-04-21,92,23,6
SKU785,Widget A,2024-04-20,97,10,10
SKU474,Widget A,2024-04-19,75,16,10
SKU198,Widget A,2024-04-18,184,24,4
SKU480,Widget A,2024-04-17,137,22,4
SKU986,Widget A,2024-04-16,73,24,3
SKU726,Widget A,2024-04-15,69,8,8
SKU200,Widget A,2024-04-14,146,8,9
SKU634,Widget A,2024-04-13,145,16,5
SKU106,Widget A,2024-04-12,75,9,4
SKU908,Widget A,2024-04-11,119,20,6
SKU970,Widget A,2024-04-10,61,5,7
SKU562,Widget A,2024-04-09,151,22,5
SKU645,Widget A,2024-04-08,76,20,4
SKU482,Widget A,2024-04-07,63,13,8
SKU841,Widget A,2024-04-06,81,25,9
SKU677,Widget A,2024-04-05,97,23,6
SKU989,Widget A,2024-04-04,96,21,8
SKU356,Widget A,2024-04-03,107,5,8
SKU188,Widget A,2024-04-02,103,5,10
SKU271,Widget A,2024-04-01,163,12,3
SKU161,Widget A,2024-03-31,103,21,6
SKU591,Widget A,2024-03-30,83,22,3
SKU562,Widget A,2024-03-29,139,12,4
SKU863,Widget A,2024-03-28,71,5,6
SKU950,Widget A,2024-03-27,189,23,7
SKU379,Widget A,2024-03-26,79,25,3
SKU614,Widget A,2024-03-25,102,23,4
SKU302,Widget A,2024-03-24,139,18,4
SKU822,Widget A,2024-03-23,147,11,5
SKU770,Widget A,2024-03-22,81,9,4
SKU882,Widget A,2024-03-21,103,16,8
SKU225,Widget A,2024-03-20,57,13,6
SKU238,Widget A,2024-03-19,162,5,5
SKU378,Widget A,2024-03-18,126,18,3
SKU292,Widget A,2024-03-17,121,16,9
SKU162,Widget A,2024-03-16,105,22,9
SKU658,Widget A,2024-03-15,142,8,6
SKU255,Widget A,2024-03-14,149,7,5
SKU737,Widget A,2024-03-13,89,16,4
SKU462,Widget A,2024-03-12,147,7,10
SKU720,Widget A,2024-03-11,144,22,4
SKU251,Widget A,2024-03-10,72,21,7
SKU250,Widget A,2024-03-09,149,21,8
SKU585,Widget A,2024-03-08,119,22,9
SKU496,Widget A,2024-03-07,152,21,4
SKU743,Widget A,2024-03-06,50,18,9
SKU687,Widget A,2024-03-05,180,14,7
SKU435,Widget A,2024-03-04,137,13,6
SKU215,Widget A,2024-03-03,137,10,8
SKU982,Widget A,2024-03-02,150,16,3
SKU915,Widget A,2024-03-01,132,12,3
SKU265,Widget A,2024-02-29,74,23,4
SKU101,Widget A,2024-02-28,69,5,3
SKU413,Widget A,2024-02-27,82,8,5
SKU773,Widget A,2024-02-26,123,22,8
SKU203,Widget A,2024-02-25,185,21,4
SKU699,Widget A,2024-02-24,102,24,8
SKU489,Widget A,2024-02-23,79,15,8
SKU575,Widget A,2024-02-22,83,5,10
SKU757,Widget A,2024-02-21,67,14,3
SKU183,Widget A,2024-02-20,78,20,8
SKU710,Widget A,2024-02-19,64,14,6
SKU322,Widget A,2024-02-18,167,14,9
SKU377,Widget A,2024-02-17,155,6,3
SKU238,Widget A,2024-02-16,137,6,10
SKU154,Widget A,2024-02-15,196,23,4
SKU926,Widget A,2024-02-14,168,14,7
SKU977,Widget A,2024-02-13,93,7,8
SKU451,Widget A,2024-02-12,182,10,8
SKU183,Widget A,2024-02-11,91,22,9
SKU225,Widget A,2024-02-10,73,9,3
SKU622,Widget A,2024-02-09,134,13,7
SKU616,Widget A,2024-02-08,50,8,7
SKU425,Widget A,2024-02-07,131,11,7
SKU888,Widget A,2024-02-06,93,13,9
SKU369,Widget A,2024-02-05,120,11,10
SKU460,Widget A,2024-02-04,57,8,3
SKU249,Widget A,2024-02-03,181,14,10
SKU917,Widget A,2024-02-02,148,10,4
SKU562,Widget A,2024-02-01,169,21,9
SKU534,Widget A,2024-01-31,111,21,8
SKU248,Widget A,2024-01-30,148,15,3
SKU772,Widget A,2024-01-29,73,13,10
SKU439,Widget A,2024-01-28,144,18,9
SKU895,Widget A,2024-01-27,137,9,4
SKU717,Widget A,2024-01-26,184,15,3
SKU676,Widget A,2024-01-25,191,10,10
SKU880,Widget A,2024-01-24,133,23,6
SKU942,Widget A,2024-01-23,98,13,10
SKU689,Widget B,2025-02-25,187,15,7
SKU734,Widget B,2025-02-24,124,17,6
SKU436,Widget B,2025-02-23,139,20,4
SKU651,Widget B,2025-02-22,152,12,9
SKU716,Widget B,2025-02-21,106,11,10
SKU551,Widget B,2025-02-20,78,25,8
SKU589,Widget B,2025-02-19,102,11,9
SKU484,Widget B,2025-02-18,168,8,8
SKU151,Widget B,2025-02-17,188,5,6
SKU121,Widget B,2025-02-16,99,8,10
SKU189,Widget B,2025-02-15,54,6,4
SKU262,Widget B,2025-02-14,185,16,3
SKU831,Widget B,2025-02-13,182,14,9
SKU896,Widget B,2025-02-12,145,6,7
SKU254,Widget B,2025-02-11,96,11,4
SKU585,Widget B,2025-02-10,59,17,6
SKU717,Widget B,2025-02-09,149,18,7
SKU580,Widget B,2025-02-08,83,10,7
SKU153,Widget B,2025-02-07,171,11,10
SKU996,Widget B,2025-02-06,128,7,5
SKU428,Widget B,2025-02-05,102,12,8
SKU444,Widget B,2025-02-04,61,12,3
SKU813,Widget B,2025-02-03,59,15,9
SKU517,Widget B,2025-02-02,164,14,9
SKU861,Widget B,2025-02-01,165,14,4
SKU695,Widget B,2025-01-31,138,20,4
SKU256,Widget B,2025-01-30,175,9,4
SKU911,Widget B,2025-01-29,100,14,3
SKU866,Widget B,2025-01-28,141,20,5
SKU122,Widget B,2025-01-27,183,7,9
SKU345,Widget B,2025-01-26,99,10,4
SKU357,Widget B,2025-01-25,180,16,4
SKU930,Widget B,2025-01-24,113,15,9
SKU858,Widget B,2025-01-23,69,21,7
SKU796,Widget B,2025-01-22,59,12,9
SKU785,Widget B,2025-01-21,82,23,10
SKU210,Widget B,2025-01-20,197,7,8
SKU505,Widget B,2025-01-19,75,9,8
SKU728,Widget B,2025-01-18,200,22,7
SKU960,Widget B,2025-01-17,135,12,10
SKU630,Widget B,2025-01-16,120,6,8
SKU413,Widget B,2025-01-15,100,8,3
SKU222,Widget B,2025-01-14,59,20,10
SKU643,Widget B,2025-01-13,109,16,9
SKU836,Widget B,2025-01-12,133,17,7
SKU545,Widget B,2025-01-11,134,19,6
SKU378,Widget B,2025-01-10,166,23,3
SKU461,Widget B,2025-01-09,52,19,7
SKU710,Widget B,2025-01-08,142,12,4
SKU955,Widget B,2025-01-07,107,16,3
SKU522,Widget B,2025-01-06,99,6,8
SKU710,Widget B,2025-01-05,126,18,10
SKU301,Widget B,2025-01-04,127,15,7
SKU187,Widget B,2025-01-03,156,9,5
SKU625,Widget B,2025-01-02,120,25,10
SKU516,Widget B,2025-01-01,173,24,9
SKU372,Widget B,2024-12-31,53,15,3
SKU231,Widget B,2024-12-30,78,10,6
SKU200,Widget B,2024-12-29,132,13,7
SKU643,Widget B,2024-12-28,142,22,10
SKU663,Widget B,2024-12-27,161,21,8
SKU112,Widget B,2024-12-26,124,12,10
SKU672,Widget B,2024-12-25,199,20,7
SKU764,Widget B,2024-12-24,148,12,7
SKU737,Widget B,2024-12-23,149,6,5
SKU475,Widget B,2024-12-22,123,5,8
SKU875,Widget B,2024-12-21,160,5,6
SKU861,Widget B,2024-12-20,60,14,3
SKU913,Widget B,2024-12-19,173,19,6
SKU122,Widget B,2024-12-18,196,19,4
SKU363,Widget B,2024-12-17,69,13,8
SKU433,Widget B,2024-12-16,194,20,9
SKU876,Widget B,2024-12-15,198,14,10
SKU963,Widget B,2024-12-14,121,18,7
SKU398,Widget B,2024-12-13,200,23,7
SKU847,Widget B,2024-12-12,102,22,8
SKU933,Widget B,2024-12-11,190,15,8
SKU901,Widget B,2024-12-10,128,12,5
SKU575,Widget B,2024-12-09,85,24,3
SKU719,Widget B,2024-12-08,88,17,5
SKU745,Widget B,2024-12-07,79,16,5
SKU181,Widget B,2024-12-06,104,25,6
SKU684,Widget B,2024-12-05,84,16,9
SKU300,Widget B,2024-12-04,89,17,6
SKU369,Widget B,2024-12-03,197,24,8
SKU117,Widget B,2024-12-02,147,6,7
SKU961,Widget B,2024-12-01,77,14,6
SKU532,Widget B,2024-11-30,112,15,6
SKU128,Widget B,2024-11-29,170,8,6
SKU441,Widget B,2024-11-28,165,12,8
SKU212,Widget B,2024-11-27,111,24,3
SKU930,Widget B,2024-11-26,75,9,9
SKU377,Widget B,2024-11-25,101,13,9
SKU954,Widget B,2024-11-24,122,5,9
SKU407,Widget B,2024-11-23,61,15,4
SKU652,Widget B,2024-11-22,91,17,7
SKU151,Widget B,2024-11-21,69,23,7
SKU191,Widget B,2024-11-20,160,7,3
SKU404,Widget B,2024-11-19,174,11,8
SKU537,Widget B,2024-11-18,114,25,6
SKU781,Widget B,2024-11-17,119,16,7
SKU266,Widget B,2024-11-16,57,22,7
SKU570,Widget B,2024-11-15,150,17,5
SKU868,Widget B,2024-11-14,182,22,5
SKU360,Widget B,2024-11-13,85,11,8
SKU572,Widget B,2024-11-12,143,20,10
SKU442,Widget B,2024-11-11,89,20,4
SKU193,Widget B,2024-11-10,118,17,6
SKU166,Widget B,2024-11-09,128,6,7
SKU818,Widget B,2024-11-08,69,20,6
SKU828,Widget B,2024-11-07,96,10,5
SKU359,Widget B,2024-11-06,95,22,8
SKU186,Widget B,2024-11-05,118,23,7
SKU657,Widget B,2024-11-04,117,24,8
SKU663,Widget B,2024-11-03,106,5,8
SKU335,Widget B,2024-11-02,118,18,10
SKU686,Widget B,2024-11-01,76,13,9
SKU694,Widget B,2024-10-31,54,24,10
SKU533,Widget B,2024-10-30,92,5,5
SKU682,Widget B,2024-10-29,103,7,5
SKU346,Widget B,2024-10-28,194,9,3
SKU550,Widget B,2024-10-27,131,6,10
SKU516,Widget B,2024-10-26,125,19,9
SKU520,Widget B,2024-10-25,190,10,5
SKU454,Widget B,2024-10-24,111,8,8
SKU350,Widget B,2024-10-23,138,17,5
SKU906,Widget B,2024-10-22,94,12,4
SKU306,Widget B,2024-10-21,100,14,5
SKU350,Widget B,2024-10-20,83,17,8
SKU384,Widget B,2024-10-19,161,20,6
SKU411,Widget B,2024-10-18,137,12,8
SKU167,Widget B,2024-10-17,86,20,9
SKU959,Widget B,2024-10-16,151,25,5
SKU906,Widget B,2024-10-15,197,8,6
SKU729,Widget B,2024-10-14,168,24,3
SKU105,Widget B,2024-10-13,114,23,3
SKU136,Widget B,2024-10-12,134,15,5
SKU395,Widget B,2024-10-11,108,16,6
SKU567,Widget B,2024-10-10,175,24,7
SKU107,Widget B,2024-10-09,143,17,7
SKU354,Widget B,2024-10-08,85,8,3
SKU472,Widget B,2024-10-07,51,9,7
SKU615,Widget B,2024-10-06,87,11,8
SKU551,Widget B,2024-10-05,161,24,8
SKU437,Widget B,2024-10-04,56,23,10
SKU844,Widget B,2024-10-03,155,14,3
SKU676,Widget B,2024-10-02,137,15,8
SKU588,Widget B,2024-10-01,95,10,4
SKU426,Widget B,2024-09-30,155,6,5
SKU867,Widget B,2024-09-29,175,25,8
SKU523,Widget B,2024-09-28,101,5,6
SKU755,Widget B,2024-09-27,188,24,9
SKU524,Widget B,2024-09-26,73,6,7
SKU808,Widget B,2024-09-25,129,14,6
SKU604,Widget B,2024-09-24,76,13,5
SKU643,Widget B,2024-09-23,122,14,10
SKU340,Widget B,2024-09-22,134,25,7
SKU344,Widget B,2024-09-21,93,18,9
SKU121,Widget B,2024-09-20,88,18,9
SKU309,Widget B,2024-09-19,61,17,4
SKU880,Widget B,2024-09-18,114,9,6
SKU193,Widget B,2024-09-17,62,18,10
SKU437,Widget B,2024-09-16,175,12,4
SKU645,Widget B,2024-09-15,156,14,7
SKU630,Widget B,2024-09-14,199,8,8
SKU781,Widget B,2024-09-13,130,13,5
SKU770,Widget B,2024-09-12,175,5,4
SKU436,Widget B,2024-09-11,150,17,5
SKU495,Widget B,2024-09-10,150,25,7
SKU478,Widget B,2024-09-09,80,11,9
SKU119,Widget B,2024-09-08,142,18,5
SKU785,Widget B,2024-09-07,194,24,7
SKU585,Widget B,2024-09-06,195,18,5
SKU796,Widget B,2024-09-05,131,15,7
SKU224,Widget B,2024-09-04,186,13,7
SKU434,Widget B,2024-09-03,138,16,5
SKU565,Widget B,2024-09-02,52,24,6
SKU229,Widget B,2024-09-01,199,25,9
SKU212,Widget B,2024-08-31,150,18,8
SKU173,Widget B,2024-08-30,188,14,6
SKU232,Widget B,2024-08-29,181,22,6
SKU551,Widget B,2024-08-28,77,24,4
SKU558,Widget B,2024-08-27,72,8,5
SKU324,Widget B,2024-08-26,86,9,8
SKU798,Widget B,2024-08-25,172,25,4
SKU376,Widget B,2024-08-24,79,23,4
SKU559,Widget B,2024-08-23,63,21,8
SKU363,Widget B,2024-08-22,53,9,8
SKU686,Widget B,2024-08-21,120,19,9
SKU727,Widget B,2024-08-20,174,14,4
SKU126,Widget B,2024-08-19,181,6,5
SKU202,Widget B,2024-08-18,133,6,7
SKU986,Widget B,2024-08-17,54,7,6
SKU693,Widget B,2024-08-16,108,5,4
SKU933,Widget B,2024-08-15,51,18,8
SKU383,Widget B,2024-08-14,155,7,4
SKU108,Widget B,2024-08-13,153,18,9
SKU232,Widget B,2024-08-12,89,11,10
SKU288,Widget B,2024-08-11,181,22,8
SKU949,Widget B,2024-08-10,183,6,4
SKU489,Widget B,2024-08-09,176,8,8
SKU973,Widget B,2024-08-08,128,5,5
SKU827,Widget B,2024-08-07,170,25,9
SKU887,Widget B,2024-08-06,59,8,3
SKU290,Widget B,2024-08-05,63,5,7
SKU908,Widget B,2024-08-04,80,22,4
